iter	Passed	Remaining
403	8185	3971
404	8204	3950
405	8224	3930
406	8244	3909
407	8263	3888
408	8285	3869
409	8305	3848
410	8324	3828
411	8343	3807
412	8364	3787
413	8384	3766
414	8404	3746
415	8424	3726
416	8443	3705
417	8461	3684
418	8486	3666
419	8503	3644
420	8523	3624
421	8542	3603
422	8563	3583
423	8582	3562
424	8602	3542
425	8622	3521
426	8643	3501
427	8662	3481
428	8682	3460
429	8703	3440
430	8721	3419
431	8741	3399
432	8763	3380
433	8781	3358
434	8801	3338
435	8822	3318
436	8841	3298
437	8862	3277
438	8881	3257
439	8901	3236
440	8921	3216
441	8940	3195
442	8958	3175
443	8978	3154
444	8995	3133
445	9016	3113
446	9034	3092
447	9058	3073
448	9076	3052
449	9094	3031
450	9112	3010
451	9129	2989
452	9148	2968
453	9164	2947
454	9185	2927
455	9204	2906
456	9223	2886
457	9243	2865
458	9260	2844
459	9278	2823
460	9299	2803
461	9319	2783
462	9338	2763
463	9357	2742
464	9377	2722
465	9394	2701
466	9412	2680
467	9431	2660
468	9450	2639
469	9468	2618
470	9487	2598
471	9507	2578
472	9527	2558
473	9547	2537
474	9564	2516
475	9583	2496
476	9602	2476
477	9623	2456
478	9641	2435
479	9662	2415
480	9682	2395
481	9702	2375
482	9722	2355
483	9742	2334
484	9762	2314
485	9782	2294
486	9802	2274
487	9820	2253
488	9842	2234
489	9861	2213
490	9880	2193
491	9901	2173
492	9921	2153
493	9941	2133
494	9961	2113
495	9981	2092
496	10000	2072
497	10020	2052
498	10042	2032
499	10061	2012
500	10079	1991
501	10100	1971
502	10117	1951
503	10136	1930
504	10156	1910
505	10176	1890
506	10194	1869
507	10213	1849
508	10235	1829
509	10253	1809
510	10274	1789
511	10295	1769
512	10314	1749
513	10334	1729
514	10353	1708
515	10373	1688
516	10394	1668
517	10414	1648
518	10433	1628
519	10452	1608
520	10473	1588
521	10493	1568
522	10513	1547
523	10533	1527
524	10552	1507
525	10573	1487
526	10590	1467
527	10617	1447
528	10636	1427
529	10655	1407
530	10672	1386
531	10689	1366
532	10707	1345
533	10727	1325
534	10747	1305
535	10766	1285
536	10787	1265
537	10806	1245
538	10822	1224
539	10839	1204
540	10856	1184
541	10876	1163
542	10895	1143
543	10912	1123
544	10931	1103
545	10952	1083
546	10970	1062
547	10988	1042
548	11006	1022
549	11026	1002
550	11046	982
551	11066	962
552	11085	942
553	11104	922
554	11125	902
555	11146	882
556	11165	861
557	11184	841
558	11204	821
559	11226	801
560	11244	781
561	11264	761
562	11284	741
563	11304	721
564	11324	701
565	11344	681
566	11365	661
567	11384	641
568	11403	621
569	11423	601
570	11440	581
571	11459	560
572	11479	540
573	11499	520
574	11518	500
575	11538	480
576	11559	460
577	11578	440
578	11599	420
579	11618	400
580	11639	380
581	11658	360
582	11678	340
583	11697	320
584	11715	300
585	11734	280
586	11752	260
587	11772	240
588	11792	220
589	11812	200
590	11831	180
591	11851	160
592	11871	140
593	11890	120
594	11912	100
595	11930	80
596	11951	60
597	11971	40
598	11991	20
599	12011	0
