iter	RMSE
434	113.8003945
435	113.5420283
436	113.2408731
437	113.0820986
438	112.8162406
439	112.7792846
440	112.6794581
441	112.516838
442	112.290663
443	112.0418597
444	111.8851561
445	111.8008825
446	111.7192618
447	111.6579865
448	111.4813507
449	111.4036119
450	111.2378099
451	111.1133026
452	110.9444713
453	110.8118767
454	110.651327
455	110.45721
456	110.2996691
457	110.2499627
458	110.153878
459	110.0572937
460	109.9896786
461	109.9239689
462	109.7853071
463	109.5260001
464	109.4040551
465	109.2613834
466	109.1139523
467	108.8415026
468	108.7040489
469	108.6465107
470	108.6186814
471	108.4552972
472	108.2722204
473	108.1241444
474	107.9833668
475	107.916255
476	107.7469427
477	107.5085876
478	107.3636609
479	107.2389902
480	106.9936741
481	106.9548814
482	106.736019
483	106.4231866
484	106.3592262
485	106.1590962
486	105.9263349
487	105.879569
488	105.8470624
489	105.7147259
490	105.4655406
491	105.415211
492	105.351375
493	105.192374
494	105.0579034
495	104.9303223
496	104.8857893
497	104.7568731
498	104.6717161
499	104.5719257
500	104.2891322
501	104.1462618
502	103.916931
503	103.6736722
504	103.4158051
505	103.287099
506	103.2179389
507	103.1240694
508	103.0744469
509	102.8156297
510	102.6715804
511	102.4128506
512	102.3327988
513	102.210654
514	102.1029605
515	102.0698237
516	101.8893387
517	101.670358
518	101.6079066
519	101.3875218
520	101.2758721
521	101.1391299
522	101.0966713
523	100.946963
524	100.9005959
525	100.6673904
526	100.4826935
527	100.4451672
528	100.3697876
529	100.2135907
530	100.1589848
531	99.87977196
532	99.63937488
533	99.48051287
534	99.30301993
535	99.16780975
536	98.9597394
537	98.85798185
538	98.67230066
539	98.57262139
540	98.45684286
541	98.22436432
542	98.15164754
543	97.96960887
544	97.90342861
545	97.73734244
546	97.52997797
547	97.29722687
548	97.13715038
549	97.10044967
550	96.98413805
551	96.88512953
552	96.66625049
553	96.62479996
554	96.49104382
555	96.37603242
556	96.2316141
557	96.0105431
558	95.97193212
559	95.93247682
560	95.86206898
561	95.75312364
562	95.55540479
563	95.44703309
564	95.27376049
565	95.13902487
566	95.04819225
567	94.90978407
568	94.78799098
569	94.75402345
570	94.65234353
571	94.43717468
572	94.36906078
573	94.1571566
574	94.02118758
575	94.00737417
576	93.89943845
577	93.81736449
578	93.73176959
579	93.67672087
580	93.52655283
581	93.43026337
582	93.23673143
583	93.13488866
584	93.00851099
585	92.94199119
586	92.84927018
587	92.70293931
588	92.57678714
589	92.38737122
590	92.30617324
591	92.28021558
592	92.18279552
593	92.07310171
594	91.92015964
595	91.83907384
596	91.76925711
597	91.66642102
598	91.521109
599	91.31995777
