iter	RMSE
0	1449.11894
1	1413.732991
2	1378.857587
3	1347.925053
4	1315.029981
5	1283.516877
6	1251.883641
7	1221.164999
8	1191.637011
9	1163.3456
10	1136.142733
11	1110.203291
12	1083.901793
13	1059.13821
14	1034.621229
15	1010.784525
16	986.9018124
17	964.9964266
18	946.4251367
19	926.1428769
20	908.120822
21	887.8504986
22	867.5992386
23	847.9603872
24	829.5955868
25	813.4717406
26	795.228733
27	778.8491064
28	761.5062739
29	745.6379838
30	730.6801859
31	716.6970794
32	702.4260222
33	687.8476995
34	674.1020057
35	661.5787757
36	647.1218594
37	633.7621964
38	621.9865942
39	609.744178
40	598.5803972
41	588.1801737
42	577.7636624
43	566.4140263
44	555.7877599
45	545.360693
46	535.8279448
47	526.1088534
48	516.7204064
49	507.4254116
50	498.9094778
51	489.9582159
52	481.3700941
53	473.8769742
54	466.0127371
55	458.353177
56	450.6676519
57	443.9729804
58	437.5825313
59	430.3725888
60	424.7573169
61	417.8872479
62	411.7107684
63	404.9214464
64	399.2638054
65	393.2606342
66	387.2149117
67	381.5461328
68	376.0821054
69	371.2175658
70	365.8250823
71	361.4082369
72	356.4020869
73	352.2664748
74	348.1344465
75	343.8221044
76	339.7556548
77	335.7178067
78	331.9997705
79	328.0751839
80	323.6507074
81	319.4402831
82	315.8739054
83	312.5326892
84	309.4367854
85	305.7282508
86	302.41447
87	298.9720388
88	296.6275565
89	293.5150601
90	290.7533019
91	288.2269089
92	285.1310993
93	282.3943717
94	279.8083089
95	276.8384143
96	274.4754369
97	272.2864932
98	269.740203
99	267.6040274
100	265.8102367
101	264.048255
102	262.1640664
103	260.4269844
104	258.2253994
105	256.2932042
106	254.5105325
107	252.6858603
108	250.7814447
109	248.1998383
110	246.1963302
111	244.492692
112	242.7565714
113	240.9477394
114	239.4893183
115	238.0731588
116	236.8232352
117	235.5555799
118	234.4565249
119	233.4009663
120	232.0883331
121	230.2500047
122	228.772646
123	227.5878677
124	226.6732483
125	225.6805664
126	224.7239578
127	223.7089059
128	222.8310062
129	221.819775
130	220.8027322
131	219.8989593
132	219.0794595
133	217.9324122
134	217.2529852
135	216.458719
136	215.5489529
137	214.4486153
138	213.4255602
139	212.274872
140	211.476005
141	210.5002277
142	209.3280195
143	208.3947318
144	207.5850661
145	206.8703277
146	206.1031299
147	205.3190902
148	204.3840339
149	203.7466294
150	203.0505176
151	202.410524
152	201.2329906
153	200.9065897
154	200.2863858
155	199.6066827
156	199.0405819
157	198.1774692
158	197.7042125
159	197.0716533
160	196.6782229
161	196.114636
162	195.6289189
163	194.9765073
164	194.6377483
165	194.0317929
166	193.5548379
167	192.744973
168	192.0367821
169	191.4746362
170	190.7436353
171	190.1618957
172	189.8210345
173	189.2856046
174	188.875501
175	188.5384264
176	187.9763941
177	187.2717776
178	186.7916275
179	186.5177118
180	185.9986436
181	185.6004305
182	185.1013304
183	184.537123
184	184.0503543
185	183.4929038
186	182.9248405
187	182.5800722
188	182.2193301
189	181.815467
190	181.3258307
191	180.8219859
192	180.4103659
193	180.1518741
194	179.706861
195	179.3890464
196	179.0355134
197	178.6098012
198	178.2932394
199	177.8960717
200	177.0259116
201	176.2194018
202	175.9968311
203	175.6980127
204	175.3118581
205	174.8269785
206	174.4503013
207	174.2472654
208	173.9031853
209	173.4703768
210	173.0122661
211	172.6086876
212	171.6231867
213	170.8746571
214	170.5229024
215	170.0154569
216	169.7117626
217	169.421234
218	168.9763112
219	168.1711713
220	167.9684035
221	167.7540218
222	167.474991
223	167.1538068
224	167.0795412
225	166.651117
226	166.368586
227	165.8290312
228	165.5125332
229	165.3678684
230	164.9513043
231	164.7392426
232	164.4761471
233	164.0997418
234	163.7956915
235	163.5562773
236	163.4204349
237	163.1286217
238	162.8608314
239	162.5737755
240	162.1568721
241	161.9086418
242	161.5090134
243	161.1940006
244	160.879676
245	160.5560505
246	160.3258601
247	159.9575794
248	159.440757
249	159.23555
250	159.001175
251	158.6954419
252	158.5556922
253	158.3593601
254	158.1341007
255	157.7707336
256	157.3988438
257	157.0272318
258	156.7511172
259	156.3902332
260	156.0466223
261	155.8745316
262	155.4624849
263	155.3124151
264	154.6985469
265	154.4107525
266	153.9909747
267	153.6184617
268	153.3599504
269	153.0154316
270	152.7132138
271	152.5945977
272	152.3177938
273	152.0034836
274	151.5486961
275	151.1331179
276	150.9152514
277	150.6869824
278	150.415115
279	150.2522859
280	149.9504761
281	149.7809692
282	149.5428191
283	149.3395178
284	149.1666916
285	149.0219244
286	148.6770441
287	148.472265
288	148.2644577
289	148.0641848
290	147.5913154
291	147.3088999
292	147.0262834
293	146.7328435
294	146.3165848
295	145.9283477
296	145.5880253
297	145.2188652
298	145.0957088
299	144.8433762
300	144.5889985
301	144.3962339
302	144.196301
303	144.055118
304	143.9310415
305	143.7356391
306	143.5671244
307	143.3264046
308	142.9742183
309	142.8184839
310	142.6787435
311	142.5444594
312	142.1689673
313	141.8801977
314	141.6448031
315	141.3850167
316	140.8473516
317	140.6115924
318	140.2756299
319	139.9368178
320	139.8530938
321	139.6303138
322	139.4859796
323	139.2514547
324	139.0817619
325	138.8032887
326	138.347752
327	137.9989061
328	137.8531584
329	137.2904692
330	137.1113106
331	136.8428676
332	136.7528635
333	136.2616436
334	136.135045
335	135.8235467
336	135.7091134
337	135.4361169
338	135.1206119
339	135.0245098
340	134.649999
341	134.4011221
342	134.1754542
343	134.0445213
344	133.9544098
345	133.6758997
346	133.5806092
347	133.4206334
348	133.0366395
349	132.8180093
350	132.3303104
351	132.1053326
352	132.0224503
353	131.8333457
354	131.4512478
355	131.089486
356	130.9268448
357	130.4626316
358	130.1944698
359	129.7546134
360	129.4835308
361	129.0255391
362	128.6045299
363	128.3558466
364	127.9944092
365	127.8297934
366	127.6899813
367	127.4552365
368	127.3273317
369	127.1213784
370	126.9038533
371	126.5076354
372	126.2008033
373	126.0208306
374	125.7799011
375	125.6679569
376	125.4668757
377	125.2652633
378	125.1025013
379	124.8006689
380	124.5278995
381	124.2759588
382	124.0368873
383	123.7244871
384	123.3766332
385	123.0609475
386	122.9150403
387	122.7116316
388	122.5163505
389	122.3591504
390	122.0006303
391	121.7591013
392	121.5663544
393	121.363557
394	121.0734311
395	120.8428149
396	120.6040567
397	120.3882653
398	120.1154624
399	120.0492849
400	119.8642338
401	119.6889704
402	119.4470702
403	119.3235054
404	119.0791402
405	118.8966883
406	118.6961206
407	118.539683
408	118.2343579
409	117.8987983
410	117.6691343
411	117.5430332
412	117.4551892
413	117.3787625
414	117.0668769
415	116.9011568
416	116.7830963
417	116.6197149
418	116.5495686
419	116.4076094
420	116.3034604
421	116.0453978
422	115.7831899
423	115.6720478
424	115.4712014
425	115.2845562
426	115.1156817
427	114.952634
428	114.6428979
429	114.5406504
430	114.3668722
431	114.1454127
432	113.9741462
433	113.8572204
